BouncedAt,UserName,TimeStamp,DeviceID,Flavor,CheckIn,NumOfPeople,CityName,CityId,NumofRooms,CheckOut
1,johnsonkristin@yahoo.com,2020-08-25 09:53:58,5161685,Android,2021-05-26,8,Wheatley,a52fdbb0-354d-4a35-a2fc-73df19de07cd,5,2021-05-28
0,nicholas68@brown-olsen.com,2020-08-20 01:44:53,4650690,Android,2021-05-15,9,Watersmeet,a13b8df5-3c50-4498-8a53-b2ad2435fe75,7,2021-05-18
0,patrick44@gmail.com,2020-08-24 07:10:47,8693864,Android,2021-06-02,1,Ridgeville,c7723123-f4d7-4b7b-bbef-6112497093d8,1,2021-06-30
1,amberwhite@hotmail.com,2021-01-04 20:42:07,6578196,IOS,2021-07-10,3,Aledo,b279bfad-10ea-4fe3-bcd7-1c9da420c289,2,2021-07-20
0,miranda31@hotmail.com,2020-05-27 11:10:33,2265497,Android,2021-08-10,3,West Easton,558d63b8-2d49-4a14-a57d-2a7bd3ec0e5c,2,2021-08-13
1,harrisonmelinda@hotmail.com,2020-11-08 11:19:21,8081380,IOS,2021-05-19,5,Vinita Park,d0b981ea-9c4f-4980-9b9d-d59676757042,3,2021-05-31
1,christina73@yahoo.com,2020-10-31 20:36:40,1384128,IOS,2021-05-24,3,Animas,a0e27b9c-125f-4ece-950a-64f4ff476a59,2,2021-06-18
0,michael34@young.biz,2020-11-16 16:11:35,7902437,Android,2021-05-07,2,Flossmoor,fc85c607-bbe1-4912-a10a-8bc1b2c7afa0,2,2021-06-01
1,xwalker@yahoo.com,2021-05-04 06:11:28,2835152,Android,2021-05-31,6,South Amboy,d8e839f8-baf2-4267-993e-e368a542e1fc,5,2021-06-05
1,walshveronica@gmail.com,2021-04-01 00:34:06,7055640,Android,2021-06-25,3,Cat Creek,2556e260-0391-483f-bbfb-9dd9c7a45993,3,2021-06-30
0,kallen@yahoo.com,2020-06-14 22:42:25,5659642,IOS,2021-07-06,5,Devils Den,9d6b2a59-5a37-47c6-9e06-28458e1933a7,5,2021-08-02
0,vanessa60@scott.com,2021-03-29 16:28:41,1746364,Android,2021-05-11,3,Walnut Shade,7c4862e8-d088-48ae-82e2-6e465abefe2f,2,2021-05-16
0,parkjohn@sanchez.com,2020-08-24 21:55:28,8129027,IOS,2021-06-13,8,Harlingen,a61b7017-8c6a-4711-aa15-98440874e267,4,2021-06-27
1,gilesmaria@monroe-wall.com,2021-01-08 04:13:07,8655151,Android,2021-07-10,9,Gun Barrel City,2d298b62-d2a5-419f-8781-2e64d480fd89,7,2021-07-16
0,khubbard@adams.com,2020-06-25 04:53:36,1582078,Android,2021-05-25,5,Hilland,cdf84063-e27c-4553-9555-7a65cdf1234a,3,2021-06-17
1,jennifer56@gmail.com,2021-02-04 23:20:05,2293949,IOS,2021-08-30,7,Mount Carroll,36f267d4-8664-4924-b665-18c02aa144af,4,2021-09-19
