BouncedAt,UserName,TimeStamp,DeviceID,Flavor,CheckIn,NumOfPeople,CityName,CityId,NumofRooms,CheckOut
1,timothy29@hotmail.com,2021-05-04,1904032,Android,2021-05-04,7,Church Creek,2694edfd-df46-4a66-b86d-eb3bfd2c59f2,4,2021-05-24
0,jeffrey65@martin.com,2021-05-04,8097337,Android,2021-05-04,4,Buffalo Springs,c9b4411e-7936-4418-9746-88d8926a0626,2,2021-06-02
1,jason49@sullivan-pennington.com,2021-05-04,7803252,Android,2021-05-04,1,Zilwaukee,6f11f961-800d-4590-a6e0-ed8abe06eccf,1,2021-05-13
1,shanejohnson@travis.org,2021-05-04,6125091,IOS,2021-05-04,5,Hurley,b30b4913-81ce-4872-861d-8e8b5109320c,5,2021-06-02
1,rreid@hotmail.com,2021-05-04,6783974,Android,2021-05-04,9,Saint Paul Park,ef695c38-5b87-455c-a6b1-d46b8f50bbb1,8,2021-05-26
1,jimmy56@hotmail.com,2021-05-04,7833632,Android,2021-05-04,6,Flowood,4b1bc6b3-fbea-4e2c-958d-eb93f669ef12,5,2021-05-27
1,jkerr@thomas.biz,2021-05-04,6440813,Android,2021-05-04,5,Marinette,3c9fb077-fb99-489a-a6d1-4eaffc72f718,5,2021-05-08
0,natasha85@gmail.com,2021-05-04,4522160,IOS,2021-05-04,7,Culpeper,ce0dc6b4-be38-4ca6-a71b-2c5baba823a5,7,2021-05-05
1,carla19@hernandez.biz,2021-05-04,4211499,Android,2021-05-04,4,Garner,560a0683-0f67-48bd-88f3-14b863a7bcbb,2,2021-05-09
1,woodsarah@gmail.com,2021-05-04,4614979,IOS,2021-05-04,6,Oakes,3e7ccffb-151d-4322-9088-943b396b1d6f,4,2021-05-22
1,alex04@harris.info,2021-05-04,4091953,Android,2021-05-04,9,Wasilla,932dcf74-2741-450c-9dcf-aed9d8a89190,5,2021-05-28
1,jimmy56@hotmail.com,2021-05-04,7754688,Android,2021-05-04,7,Eustace,b86cfd88-cba5-4332-9f01-d96550652164,5,2021-05-08
1,zstein@miller.com,2021-05-04,5650919,Android,2021-05-04,2,Angela,c2ce4377-9bc0-4c1a-9264-0b16a3700cf0,1,2021-05-18
0,shanejohnson@travis.org,2021-05-04,7965152,Android,2021-05-04,9,Wylliesburg,3c92f409-dec2-4681-b911-d15219d2f215,9,2021-05-15
1,nicolemunoz@yahoo.com,2021-05-04,6300763,Android,2021-05-04,7,Efland,c77a5377-0a13-4b23-8517-08a5ab79e2b8,4,2021-05-31
1,kara24@yahoo.com,2021-05-04,8633397,IOS,2021-05-04,3,Devils Den,9d6b2a59-5a37-47c6-9e06-28458e1933a7,2,2021-05-16
1,kevin76@perez.info,2021-05-04,1287608,Android,2021-05-04,2,Lake Helen,2526041e-110f-4483-9cb0-a4a5358b38f9,2,2021-05-19
1,meghan04@hotmail.com,2021-05-04,6320633,Android,2021-05-04,5,Millersville,df75fc0f-0868-4bbd-9b6a-bea504b8251d,4,2021-05-18
1,sstewart@west.info,2021-05-04,8927444,Android,2021-05-04,2,Melfa,ec5373de-ed33-4a76-bb9a-b89200625f5f,2,2021-05-09
0,jimmy56@hotmail.com,2021-05-04,1690054,Android,2021-05-04,6,Country Life Acres,53666ac3-9d71-4b8a-bf0a-56a5a02e7041,5,2021-05-28
1,jason49@sullivan-pennington.com,2021-05-04,3330146,IOS,2021-05-04,7,North Troy,dd506fd6-dccb-4656-9091-d14fa933afe7,4,2021-05-21
1,lnelson@kirk.net,2021-05-04,6519917,Android,2021-05-04,3,Hanson,c6ff76a6-bc76-4279-b823-f7af90f8d4dc,3,2021-05-25
1,davidwright@hotmail.com,2021-05-04,6547747,Android,2021-05-04,9,Halliday,5ff38f51-5087-4744-8a87-e63680de9f06,6,2021-05-31
0,jkerr@thomas.biz,2021-05-04,6243797,Android,2021-05-04,7,Livonia,645cf776-52a9-4d2d-918b-3f4cc3252183,4,2021-06-01
0,michaelroberts@thompson-daniel.com,2021-05-04,4409523,Android,2021-05-04,1,Verona,35acf549-fd2d-4d38-a571-209662a323cf,1,2021-05-16
1,stanley57@hotmail.com,2021-05-04,4638167,IOS,2021-05-04,2,El Dara,256d9f16-80b4-4b47-a664-fdbd9bc690cf,1,2021-06-01
0,fwright@wood.com,2021-05-04,3318608,Android,2021-05-04,6,Eatons Neck,01190ad4-eb68-4c23-99fb-669100ba9bde,6,2021-05-16
0,davidwright@hotmail.com,2021-05-04,3490906,IOS,2021-05-04,7,Millburn,d32b2561-d9f7-40ad-bc09-efe17efbd335,7,2021-05-20
0,alex04@harris.info,2021-05-04,1747902,Android,2021-05-04,3,Polonia,ae119a00-ee28-498c-b355-70f0575ccf5c,3,2021-05-23
0,daniellebarnes@gmail.com,2021-05-04,1837147,Android,2021-05-04,8,Mount Pleasant,93b6c41b-35cd-452b-91da-0f6031e540de,7,2021-05-24
1,jimmy56@hotmail.com,2021-05-04,5728793,Android,2021-05-04,8,Glen Saint Mary,7317e5de-3894-46b6-ba2b-7b563ba9ae8e,4,2021-05-28
1,jkerr@thomas.biz,2021-05-04,3758348,IOS,2021-05-04,5,Independence,1b391802-26fb-40d5-825f-bdf1e12c57a0,3,2021-05-15
1,toni22@hawkins.net,2021-05-04,6355263,Android,2021-05-04,3,Stone Park,3a38e839-252f-4a5c-81df-f6e9ec52d90d,3,2021-05-17
1,lauren22@hensley-odonnell.com,2021-05-04,1730658,Android,2021-05-04,7,Sherrill,75a6f3ec-56f0-46a1-8141-57691cceec9a,7,2021-05-19
1,patriciaramirez@carroll.com,2021-05-04,8185165,IOS,2021-05-04,4,Wrigley,c14fc48f-285d-45dc-a4b3-41ec1c4b8819,3,2021-05-27
1,adrian68@gmail.com,2021-05-04,3848801,Android,2021-05-04,5,Hawthorn Woods,a8db1987-1665-4c2a-b73f-a17d5cdbe397,4,2021-05-13
1,espinozadanielle@suarez.com,2021-05-04,3372606,Android,2021-05-04,6,Pickering,faa9f05e-29bd-4639-98ed-6f59a6733138,3,2021-05-22
1,michaelroberts@thompson-daniel.com,2021-05-04,7861197,IOS,2021-05-04,8,Wellford,c9e2b94a-e919-4769-926e-bdd33df8bd74,5,2021-05-24
0,lunajonathon@hotmail.com,2021-05-04,8690530,IOS,2021-05-04,5,Buckman,1f92c3c5-128a-40d3-b68c-d4aa25642ed8,4,2021-05-31
1,wsimmons@hotmail.com,2021-05-04,2601986,Android,2021-05-04,5,Table Grove,c03e7ca8-9fc4-4285-90c3-2402a31e8fb7,5,2021-05-27
0,christinawilliams@fowler.com,2021-05-04,4060143,Android,2021-05-04,8,Mifflin,c2cf8aa9-2729-4201-bf1b-e696e53da15c,6,2021-05-05
1,jessicadaniels@jordan.com,2021-05-04,2618141,Android,2021-05-04,3,Burdett,855c70fa-42a4-4787-9518-1b0e571b6348,2,2021-05-28
1,davidwright@hotmail.com,2021-05-04,6961834,Android,2021-05-04,4,Dundee,0adc9175-1eab-43c9-bcfc-b9c8392f2043,2,2021-05-10
1,jeffrey65@martin.com,2021-05-04,9883569,IOS,2021-05-04,8,Page Park,292c84f2-1518-43a2-9e6c-433edadb4bc4,7,2021-05-16
1,daniellebarnes@gmail.com,2021-05-04,3048878,IOS,2021-05-04,5,Neilton,b8c89dc7-3f0e-498c-adb5-8e63c7271aa6,4,2021-05-13
0,kara24@yahoo.com,2021-05-04,4283707,IOS,2021-05-04,3,Tybee Island,87a10f99-d23b-4827-804f-e36c488e2cdf,2,2021-05-30
0,jason49@sullivan-pennington.com,2021-05-04,5809185,Android,2021-05-04,2,Mulvane,2e4668cb-cbeb-48ec-8b58-4683f6fdac27,2,2021-05-27
1,cjennings@gmail.com,2021-05-04,4650881,IOS,2021-05-04,7,Innsbrook,18bf564c-199d-44b7-b523-0f4475bfc157,6,2021-05-10
