UserName,TimeStamp,CheckIn,CityName,HotelName,CityId,CheckOut,RoomNights,BookingAmount,BookingID
jeffrey65@martin.com,2021-05-04,2021-05-04,Buffalo Springs,Hotel City Lake,c9b4411e-7936-4418-9746-88d8926a0626,2021-06-02,29,1479,691550e3-e510-409d-983c-cf51c889e1b5
natasha85@gmail.com,2021-05-04,2021-05-04,Culpeper,The Pink Sheet,ce0dc6b4-be38-4ca6-a71b-2c5baba823a5,2021-05-05,1,2464,752171f5-b201-4f59-ab99-18327008618e
shanejohnson@travis.org,2021-05-04,2021-05-04,Wylliesburg,The Pink Sheet,3c92f409-dec2-4681-b911-d15219d2f215,2021-05-15,11,3248,115379a0-2136-46d6-85f4-3bc46b9e8c0e
jimmy56@hotmail.com,2021-05-04,2021-05-04,Country Life Acres,The Pink Sheet,53666ac3-9d71-4b8a-bf0a-56a5a02e7041,2021-05-28,24,1561,3534b694-5077-42f2-a179-e0b65736b6a7
jkerr@thomas.biz,2021-05-04,2021-05-04,Livonia,Palm Woods,645cf776-52a9-4d2d-918b-3f4cc3252183,2021-06-01,28,2285,1587b921-1859-4328-b48e-a6c67a74346f
michaelroberts@thompson-daniel.com,2021-05-04,2021-05-04,Verona,Carpe Diem,35acf549-fd2d-4d38-a571-209662a323cf,2021-05-16,12,3046,7c3b1c9c-34dd-4414-b364-0364c2728561
fwright@wood.com,2021-05-04,2021-05-04,Eatons Neck,Hotel City Lake,01190ad4-eb68-4c23-99fb-669100ba9bde,2021-05-16,12,3712,765ed48d-4684-440a-9487-a59a2b635e30
davidwright@hotmail.com,2021-05-04,2021-05-04,Millburn,The Robe Hotel,d32b2561-d9f7-40ad-bc09-efe17efbd335,2021-05-20,16,1271,a2d3f746-7c5f-4b9e-a680-94b6b0a306be
alex04@harris.info,2021-05-04,2021-05-04,Polonia,The Robe Hotel,ae119a00-ee28-498c-b355-70f0575ccf5c,2021-05-23,19,154,48af9308-71f0-494a-8f3f-29e4fd26ebbd
daniellebarnes@gmail.com,2021-05-04,2021-05-04,Mount Pleasant,Palm Woods,93b6c41b-35cd-452b-91da-0f6031e540de,2021-05-24,20,1134,8a005e85-f156-4f0f-9599-ee40339e4e78
lunajonathon@hotmail.com,2021-05-04,2021-05-04,Buckman,Hotel City Lake,1f92c3c5-128a-40d3-b68c-d4aa25642ed8,2021-05-31,27,738,28564417-bd5f-43b3-a550-3934d32e8741
