UserName,TimeStamp,CheckIn,CityName,HotelName,CityId,CheckOut,RoomNights,BookingAmount,BookingID
hahnshane@clark.com,2020-11-20 08:24:02,2021-05-21,Rogerson,The Pink Sheet,4a4cfe9f-0e63-4f82-88b1-1eae00c34e73,2021-06-07,17,2862,de9364ac-b4b7-4520-b076-4693ca4daad4
whitney23@hotmail.com,2020-05-15 16:36:14,2021-05-05,Wetumpka,Hotel City Lake,28a264de-adac-4baf-831b-50fe3195f658,2021-05-27,22,3527,641e3aa9-7f93-4d56-a843-8182604fdd33
millerjamie@montes-wright.biz,2020-08-19 22:30:18,2021-06-05,Wise,Palm Woods,40ed2ed7-c5f0-4d82-8c14-87bb5d03ff75,2021-06-13,8,2393,b8ebee84-88bc-4318-b00a-d425ab0b7923
alvarezamy@gmail.com,2020-12-08 22:08:17,2021-05-07,Tucson Estates,Hotel City Lake,3f8b74cc-5600-471f-9c6f-afad1e4cc933,2021-05-16,9,515,f59e7f54-e7f8-44a4-ac64-0dd3d5decceb
foxerika@leblanc-robles.net,2021-04-02 11:59:06,2021-08-13,Bedrock,Hotel City Lake,ba9e7f1a-e01c-49d6-b245-db024f036fef,2021-09-07,25,2900,41cdf090-2c1d-4936-8769-54449f0d82bd
paul97@hotmail.com,2020-05-25 22:09:28,2021-05-26,Forestdale,Carpe Diem,9184c15d-bfdc-4abd-ab33-3c243cd17e8f,2021-06-21,26,1694,8dca1381-6d36-439a-9948-dbcc9fa3bdba
qsilva@gibson.com,2020-08-23 09:12:32,2021-05-19,Antonito,The Pink Sheet,5e8fe6a3-a79d-4869-91db-63ee750e0e86,2021-05-21,2,1670,6d1ce83b-3631-483d-93c4-7d56c2520d25
florespaul@yahoo.com,2020-10-22 12:26:26,2021-08-28,Arcanum,The Pink Sheet,21e14134-0c08-4d58-a0b5-e45b38466529,2021-09-21,24,1790,cabd15c5-3d4c-47ed-94b6-198c1f234600
rebeccamiles@ho.com,2020-11-02 10:34:11,2021-08-03,Snoqualmie Falls,Palm Woods,0c8e15d8-d50d-4f01-9932-c6dc6b0a81c9,2021-09-01,29,1716,7f93a5d2-b396-4ba4-b515-f41f4f8b9010
omolina@baldwin-terry.com,2020-06-15 20:40:06,2021-08-07,Bethel Acres,The Pink Sheet,9126de99-b29a-437a-805f-216b0746656f,2021-08-09,2,3554,95ed7f50-827f-43d5-9067-c418270bab8f
ramosjoel@yahoo.com,2021-02-01 21:06:31,2021-06-11,Spink,Palm Woods,6a093089-983e-4e4d-b2df-70a3c8cd3c18,2021-07-07,26,2179,c557c0bb-9fa8-4e2e-b466-3aed5ad013bd
christopherpayne@gmail.com,2021-02-16 11:08:39,2021-07-09,Artois,Carpe Diem,c0ee8d17-684c-4205-9026-03486ac3ac26,2021-07-18,9,3751,c68ac0d7-61b1-462c-9bdc-402da0efffd2
kellyburns@hotmail.com,2020-10-10 05:15:50,2021-07-11,Adairsville,Carpe Diem,e8f695fd-710b-401c-8131-971685766043,2021-07-31,20,2440,d9dab4df-54b8-4c68-97b2-67096a25e2c1
gregoryphillips@huynh-tucker.net,2020-10-27 19:32:59,2021-08-24,Sachse,Carpe Diem,88251ed6-f779-4d7c-8ff1-c2f1ecc9087c,2021-08-28,4,1522,60e82c53-975b-490c-a20b-2b4a04768ad2
kevin48@gmail.com,2021-04-19 01:40:22,2021-06-16,Watson,The Pink Sheet,169c5149-7d9f-4ba9-a90f-d88f0a33918b,2021-06-25,9,616,82231a39-b7ed-4a90-9ec0-b75f7d897acc
kimberly22@nolan.org,2020-11-23 11:51:03,2021-05-12,Kenly,Carpe Diem,756cce00-ad10-41e8-a455-ebac38531900,2021-06-04,23,622,80578718-f347-4c67-b073-09e8539be29d
milesamber@yahoo.com,2020-12-16 07:57:57,2021-07-28,Lillie,Hotel City Lake,104f6949-9ee3-4b99-b01a-ae4e4dccc445,2021-08-08,11,1038,1e253a57-f762-400f-803b-affb1308c411
gonzalezsteven@gmail.com,2021-02-20 04:52:23,2021-07-19,Gibson Island,Carpe Diem,bc4e9803-860a-4d9c-ad5f-910c842aca71,2021-08-13,25,1725,61b059ec-099d-4170-9498-272a0a834258
benjaminburgess@hotmail.com,2020-07-10 14:15:50,2021-08-14,Polonia,The Robe Hotel,ae119a00-ee28-498c-b355-70f0575ccf5c,2021-08-26,12,3991,08bc54e4-d766-4f5c-89f0-0afcbcddcde9
mauricemiddleton@gmail.com,2020-12-07 05:40:31,2021-05-19,Eastpointe,The Pink Sheet,321d8559-4505-4668-a2cb-761aeae09278,2021-05-28,9,1904,4d2f3374-a8d7-4070-a82d-42029c27957b
jonathandeleon@blankenship.com,2021-01-18 08:30:09,2021-05-22,Rolfe,Palm Woods,fbd8fd4d-8138-4a34-8f58-a57915915559,2021-06-13,22,3764,9a9766f7-d222-48e1-bd90-ba52f3816f21
gatesbrett@leon-wheeler.biz,2020-09-30 22:58:03,2021-07-23,Independence,The Pink Sheet,1b391802-26fb-40d5-825f-bdf1e12c57a0,2021-08-09,17,2720,4641aeb8-7c46-4377-985a-96345b07b774
fkemp@hotmail.com,2020-12-07 01:46:18,2021-07-10,Fithian,Carpe Diem,0a263670-9c98-40a5-bcb8-e46aece71b71,2021-07-15,5,2414,d0600964-7b37-4af1-8bea-4a0f65c12b89
