UserName,TimeStamp,CheckIn,CityName,HotelName,CityId,CheckOut,RoomNights,BookingAmount,BookingID
christine90@hotmail.com,2020-11-15 08:12:11,2021-07-31,Sabana Hoyos,Hotel City Lake,0c869682-c911-45dc-923b-9cad93dd9fbf,2021-08-26,26,2982,ebe18b13-967d-435b-ad49-093fb56bdb9b
sbeltran@yahoo.com,2021-04-10 06:25:56,2021-05-08,Lee Creek,Palm Woods,5378a714-3963-46ab-8ab8-31fe9df9ea48,2021-05-18,10,3404,cf4ad137-d68a-4b34-bb6c-88a774187add
clang@gmail.com,2020-05-21 00:04:01,2021-08-11,Lynchburg,Hotel City Lake,1fd3f4c1-51bc-4a72-9b8b-ea9ed7325dfa,2021-09-07,27,3205,ae268f1d-851a-433a-b743-75ccb38bfb96
dhammond@yahoo.com,2020-12-16 16:33:44,2021-06-05,Capitol,Carpe Diem,537efad3-e0a5-4d92-9e00-1019d7f249b8,2021-06-30,25,2339,8935e489-cb5f-4427-86ae-8f1c00612295
ashleyobrien@gmail.com,2020-10-04 14:44:28,2021-05-20,Orchid,Carpe Diem,3e5d11e7-739f-41d0-869b-0e0a5b3ee05c,2021-06-11,22,3413,bc77fb18-ca54-4117-a087-7adc396cc4e3
whitedevin@simpson-mckenzie.com,2020-11-06 15:22:57,2021-07-30,Neoga,Carpe Diem,2437d1f0-9da3-4c5e-9164-d1dc0a78654b,2021-08-14,15,1442,a3b16d58-eee2-4a25-8b62-f76c3ec28bf8
gardnerjacob@long-weeks.com,2020-05-05 02:07:49,2021-08-12,Lowry,Palm Woods,a54f826d-ab57-4124-b94e-e4d173355eca,2021-09-08,27,1840,bfab6c8e-146f-4f11-9bdd-944832546ed5
ewebster@gmail.com,2020-06-06 15:06:43,2021-07-17,Holcut,The Robe Hotel,85fc908d-92cb-4bfa-9fa9-dffd467da9ed,2021-07-30,13,3385,e9314e4b-4da0-4179-9d93-96d0b8e209a1
gonzalezpatrick@hotmail.com,2020-12-02 09:17:56,2021-08-10,Buffalo Springs,Palm Woods,c9b4411e-7936-4418-9746-88d8926a0626,2021-09-02,23,371,ae2d707f-2fc4-4d7f-bea3-e49414f31f77
lambertsamantha@yahoo.com,2020-08-10 02:33:26,2021-06-17,Plateau,Palm Woods,74e79615-02c8-4eed-b90e-b2a9a27d7a17,2021-06-19,2,616,385ce614-3b0e-4ca9-8d78-01c46328e885
vcarson@torres-hayes.info,2020-07-05 15:32:57,2021-05-28,Long Branch,Carpe Diem,29e63aa9-157b-4d0a-8678-b15d1d7f9bc3,2021-06-15,18,2445,42635270-c8cc-4771-b000-0c73cfd4b971
gjones@flores-humphrey.biz,2020-10-17 06:04:56,2021-05-22,Marthaville,The Pink Sheet,bdb8d2dd-4fd7-4b1c-a68e-54e765269066,2021-06-03,12,2868,d6ae6102-06bb-4d47-a357-29588cd8874d
allenbenjamin@gmail.com,2020-06-02 21:31:14,2021-05-25,Shelburne Falls,The Robe Hotel,fb36b074-40e7-4017-87c8-63b70c4dc0e9,2021-06-19,25,3957,7cddd64b-3cf4-403c-b9c6-875bdf0cf03f
vthomas@hotmail.com,2020-08-31 06:49:43,2021-08-08,Buies Creek,Hotel City Lake,033d07a8-626a-4099-a01f-7ca1a7a243bf,2021-09-04,27,490,c9891697-5b20-489f-ad74-a84c820521ab
jhernandez@rose.org,2021-04-17 20:35:40,2021-07-07,Rockdale,The Robe Hotel,29823aff-1193-4dcc-9bb6-c8274b4d73dc,2021-08-05,29,1283,8e982830-091d-4f16-b54c-a9934fbdfb6a
waltonjohnny@gmail.com,2021-01-04 15:16:43,2021-05-04,Prismatic,Hotel City Lake,edd7690d-1e11-4b23-87b4-862ceaf80a98,2021-05-28,24,2537,5a00882a-2f15-4ade-bcf6-8ed448671467
